County,Median_Annual_Income,Avg_Monthly_Rent,Median_Sale_Price,Annual_Rent,Price_to_Income,Rent_to_Income,PTI_norm,RTI_norm,Affordability_Index
Dublin,68582.5,1874.02,405000,22488.239999999998,5.905296540662706,0.327900558,0.8752189692384015,1,240.02802806251538
Wicklow,61662.5,1394.8,392074,16737.6,6.358386377457936,0.2714388810054733,1,0.6449013752912098,210.54737603727486
Galway,58695.5,1280.44,275000,15365.28,4.685197331993083,0.261779523,0.5392034056008268,0.584151768,143.78946220085106
Kildare,69678.5,1419.3,340750,17031.6,4.890317673313863,0.24443120905300772,0.5956935882127693,0.4750447977938767,137.05451340885068
Cork,60235,1243.39,285000,14920.68,4.731468415373122,0.24770781107329626,0.5519464711249968,0.49565199436996843,134.09260358335555
Meath,66750,1286.97,306608,15443.64,4.593378277153558,0.23136539325842695,0.5139164197185775,0.3928713043885896,116.06882868571739
Limerick,57809.5,1208.03,230000,14496.36,3.978584834672502,0.2507608611041438,0.3446021839350719,0.5148532283778685,110.01029277605637
Louth,59408.5,1169.87,240000,14038.439999999999,4.039825950831951,0.23630355925498875,0.3614679994506393,0.4239284046364738,100.53073972315048
Kerry,50584.5,914.59,220265,10975.08,4.354397097925254,0.21696527592444326,0.4481009556427256,0.3023061253455586,96.05210636650038
Waterford,56758,1024.07,235000,12288.84,4.140385496,0.2165129144790162,0.3891621181874064,0.29946113496478005,88.14377640347988
Clare,54071,900.32,225000,10803.84,4.161195465221653,0.19980840006657913,0.3948931877437639,0.19440314803997943,75.42993098031914
Wexford,57002,915.72,232599,10988.64,4.080541033647942,0.19277639381074346,0.37268094131942653,0.15017747328880784,66.92587707
Carlow,60385,1041.93,211409.69,12503.16,3.5010298915293534,0.20705738180011593,0.21308345804135995,0.23999342437947116,57.99384094986638
Westmeath,61921,989.69,230000,11876.28,3.7144102969913275,0.19179729009544422,0.2718484639532145,0.14401969684704866,53.23112458243368
Donegal,44171,714.28,160000,8571.36,3.6222861153245343,0.19404948948405062,0.24647744608232278,0.15818422315881567,51.79669366286572
Mayo,49928,823.04,175000,9876.48,3.505047268066015,0.19781445281204935,0.2141898443349652,0.1818628203523235,50.69474107997296
Sligo,52860.5,891.98,179000,10703.76,3.386271412491369,0.20249070667133304,0.18147895019303087,0.21127270349384733,50.27221167192041
Kilkenny,64112,940.44,239800,11285.28,3.7403294235088596,0.17602445719990018,0.2789865965279242,0.044821239,41.44740292221434
Offaly,60837.5,922.83,216000,11073.960000000001,3.550441751,0.1820252311485515,0.2266914938029412,0.08256129,39.58435634111249
Leitrim,46782.5,732.8,155000,8793.599999999999,3.313204723988671,0.18796772297333403,0.16135636971276343,0.11993479364610597,36.00526890993528
Laois,64213.5,949.34,220000,11392.08,3.4260708418011787,0.1774094232521199,0.19243972090492367,0.053531563556784734,31.484324411098676
Monaghan,53955,763.91,192500,9166.92,3.567787971457696,0.16989936057825966,0.23146864647119555,0.006299298,30.434296850402628
Cavan,54495.5,817.96,177000,9815.52,3.247974603407621,0.1801161563798846,0.14339198158969602,0.070554742,27.385180649330376
Roscommon,53181.5,809.28,151500,9711.36,2.8487349924315786,0.18260786175643787,0.033441313680619325,0.086225569,15.317360977675248
Tipperary,58653,825.53,185000,9906.36,3.154143863059008,0.16889775459055803,0.11755097711994611,0,15.046525071353102
Longford,53166,795.22,145000,9542.64,2.7273069254786892,0.1794876424782756,0,0.066601894,8.525042470499429
